cm,CU,
-0.415001711251226,1.01967525317395,
-0.375819810019578,1.01923136089928,
-0.336637908787932,1.01983880134486,
-0.297456007556285,1.01973992187302,
-0.258274106324637,1.01883440329096,
-0.219092205092991,1.01931544950108,
-0.179910303861344,1.01910289806902,
-0.140728402629698,1.01932550130341,
-0.10154650139805,1.01967734403519,
-0.0623646001664042,1.01843677151031,
-0.0231826989347567,1.01811659951516,
0.0159992022968908,1.01892072409662,
0.0551811035285368,1.01894147639147,
0.0943630047601843,1.01825876728091,
0.13354490599183,1.01769757825735,
0.172726807223478,1.01796675987614,
0.211908708455124,1.01809759863145,
0.251090609686771,1.01938627062292,
0.290272510918419,1.02020909403541,
0.329454412150065,1.02011606447201,
0.368636313381712,1.0202025323291,
0.407818214613359,1.02033153655099,
0.447000115845006,1.02058517599936,
0.486182017076654,1.02068395905836,
0.5253639183083,1.02066267934827,
0.564545819539947,1.02001255195724,
0.603727720771593,1.02039509929158,
0.642909622003241,1.02199953485434,
0.682091523234887,1.0221040621545,
0.721273424466534,1.02122512662391,
0.760455325698182,1.02094405773412,
0.799637226929828,1.02157777005743,
0.838819128161475,1.0210626378197,
0.878001029393121,1.02084324193325,
0.917182930624769,1.02098827528417,
0.956364831856415,1.02134808453553,
0.995546733088062,1.02172949550726,
1.03472863431971,1.02159269423529,
1.07391053555136,1.02115236383931,
1.113092436783,1.02138683103175,
1.15227433801465,1.02182979155908,
1.1914562392463,1.02179194238225,
1.23063814047794,1.02150998570777,
1.26982004170959,1.02135583702814,
1.30900194294124,1.02167244528225,
1.34818384417288,1.0226375964384,
1.38736574540453,1.02348478827435,
1.42654764663618,1.02341607607625,
1.46572954786783,1.02266003478316,
1.50491144909947,1.02287508379887,
1.54409335033112,1.02371840319226,
1.58327525156277,1.02417188003303,
1.62245715279441,1.02576929115481,
1.66163905402606,1.02542506188705,
1.70082095525771,1.0248939561653,
1.74000285648935,1.02487233678896,
1.779184757721,1.02483397152559,
1.81836665895265,1.02529385103392,
1.85754856018429,1.02600094963319,
1.89673046141594,1.02620894537264,
1.93591236264759,1.02574994013765,
1.97509426387923,1.02605068353294,
2.01427616511088,1.02648169445855,
2.05345806634253,1.02656766639353,
2.09263996757418,1.0267036639268,
2.13182186880582,1.02658860340793,
2.17100377003747,1.02631532931278,
2.21018567126912,1.02692928828895,
2.24936757250076,1.02723531511983,
2.28854947373241,1.02739821886626,
2.32773137496406,1.02708181532852,
2.3669132761957,1.02718106969218,
2.40609517742735,1.02733505204512,
2.445277078659,1.02833854135483,
2.48445897989064,1.02896073169264,
2.52364088112229,1.02895012134292,
2.56282278235394,1.02967722503624,
2.60200468358559,1.02965463577654,
2.64118658481723,1.02863940408113,
2.68036848604888,1.02917783543779,
2.71955038728052,1.03045665545298,
2.75873228851217,1.0290978269986,
2.79791418974382,1.029961319325,
2.83709609097547,1.02952618685709,
2.87627799220711,1.02880525057978,
2.91545989343876,1.0293262830168,
2.95464179467041,1.03156193044215,
2.99382369590205,1.03214043688933,
3.0330055971337,1.0313817966338,
3.07218749836535,1.03174526709073,
3.11136939959699,1.03187181671748,
3.15055130082864,1.03121513356426,
3.18973320206029,1.03182180303053,
3.22891510329194,1.03176572172352,
3.26809700452358,1.03206425597637,
3.30727890575523,1.03232587196999,
3.34646080698688,1.03233571179176,
3.38564270821852,1.03271336632424,
3.42482460945017,1.03281420758352,
3.46400651068182,1.03243813121384,
3.50318841191346,1.0323235086951,
3.54237031314511,1.03261441122636,
3.58155221437676,1.03250929405977,
3.6207341156084,1.03241120489718,
3.65991601684005,1.0327144436619,
3.6990979180717,1.03346437867867,
